NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,FLUX_APER,FLUXERR_APER,FLAGS,NITER_MODEL
1,516.5088,1.5075,220.5806180,+39.7257777,0.5604773,0.7178004,24,8
2,4279.6729,2.6340,220.2408398,+39.7257898,0.3385486,0.5634643,16,9
3,4897.1738,2.6107,220.1850859,+39.7256828,0.8871687,0.9009409,16,12
4,6721.4409,2.4693,220.0203768,+39.7252057,0.773696,0.8421304,16,9
5,205.6561,1.8844,220.6086850,+39.7257650,0.7847015,0.8473384,24,9
6,2413.3318,1.9870,220.4093527,+39.7259015,1.052905,0.9796846,24,9
7,2898.3853,1.8883,220.3655568,+39.7258774,0.8558871,0.8843578,24,72
8,461.0088,4.5033,220.5856296,+39.7259793,0.6909399,0.7987032,16,8
9,4295.8164,4.4401,220.2393818,+39.7259128,0.6246634,0.7603902,16,7
10,2.9855,2.6915,220.6269843,+39.7257921,0.5813609,0.730509,16,9
11,2257.4751,5.5001,220.4234251,+39.7261475,0.3077208,0.54188,0,9
12,6745.1514,3.9671,220.0182355,+39.7253021,0.871756,0.8945062,16,12
13,6238.7598,6.4009,220.0639550,+39.7256250,0.5488392,0.7147081,0,9
14,7468.6333,6.3142,219.9529144,+39.7252141,0.4528347,0.6513771,0,8
15,5062.5181,2.9380,220.1701570,+39.7256727,0.8455412,0.8802321,24,9
16,7135.6284,2.9401,219.9829814,+39.7250999,1.017373,0.9641507,24,9
17,8202.1406,4.9233,219.8866913,+39.7248257,0.7023407,0.8054383,16,9
18,6747.6523,7.3262,220.0180083,+39.7255346,0.5084845,0.6888048,1,9
19,45.3394,9.3206,220.6231614,+39.7262588,0.1353567,0.3719108,0,6
20,680.2348,2.4547,220.5658353,+39.7258612,1.193458,1.04276,24,11
21,1180.6793,2.9464,220.5206499,+39.7259379,0.9033555,0.9093368,24,8
22,2502.4065,2.2229,220.4013101,+39.7259159,2.059511,1.366422,24,92
23,7848.3823,2.6214,219.9186309,+39.7248113,1.590784,1.202327,24,46
24,8286.3242,6.5958,219.8790900,+39.7249060,1.011083,0.9629092,16,9
25,1776.5924,8.8206,220.4668446,+39.7263737,0.8730328,0.8960184,0,13
26,6900.3291,8.8586,220.0042230,+39.7255910,0.8970886,0.9080497,0,10
27,3964.3152,11.2949,220.2693120,+39.7264348,0.2337166,0.476433,0,7
28,7210.4287,10.2934,219.9762246,+39.7255842,0.8877599,0.9033825,0,9
29,3777.0391,2.6807,220.2862226,+39.7258592,2.245764,1.426802,24,63
