_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
220.45099900,+39.66631300,220.450999,+39.666313,1,,6,J144148.23+393958.7,,2003.2317,3,23.492,0.546,25.071,0.553,23.322,0.345,22.550,0.250,22.296,0.521,,,,
220.47051100,+39.68299200,220.470511,+39.682992,1,+,6,J144152.92+394058.7,*,2003.2317,3,22.417,0.203,20.186,0.017,18.804,0.009,18.048,0.008,17.610,0.014,,,,
220.47321300,+39.67826400,220.473213,+39.678264,1,+,6,J144153.57+394041.7,*,2003.2317,3,22.463,0.218,22.387,0.087,21.532,0.064,21.241,0.071,21.132,0.209,,,,
220.47351500,+39.67950300,220.473515,+39.679503,1,+,6,J144153.64+394046.2,,2003.2317,3,24.686,0.768,23.269,0.187,22.653,0.173,22.353,0.191,22.426,0.492,,,,
220.45379800,+39.67033100,220.453798,+39.670331,1,+,3,J144148.91+394013.1,,2003.2317,3,22.730,0.344,22.374,0.109,21.504,0.079,21.407,0.106,21.475,0.354,,0.4098,0.0941,0.3589
220.46444000,+39.67571000,220.464440,+39.675710,1,+,3,J144151.46+394032.5,,2003.2317,3,23.628,0.536,23.112,0.162,21.623,0.071,20.992,0.059,20.715,0.152,,0.4231,0.0773,0.4229
220.47050700,+39.67680800,220.470507,+39.676808,1,+,3,J144152.92+394036.5,,2003.2317,3,22.678,0.444,22.692,0.197,21.968,0.163,21.874,0.225,22.076,0.748,,0.5607,0.1557,0.3875
220.47612100,+39.68559100,220.476121,+39.685591,1,+,6,J144154.26+394108.1,,2003.2317,3,23.012,0.331,22.627,0.106,22.027,0.096,22.281,0.170,21.383,0.249,,,,
220.47597800,+39.68236200,220.475978,+39.682362,1,+,3,J144154.23+394056.5,,2003.2317,3,23.601,0.710,22.738,0.162,21.996,0.131,21.531,0.132,21.512,0.407,,0.4151,0.1361,0.4694
220.46464200,+39.67110200,220.464642,+39.671102,1,+,3,J144151.51+394015.9,,2003.2317,3,25.715,0.575,24.072,0.403,22.675,0.209,22.549,0.271,22.368,0.582,,0.4067,0.0904,0.3560
220.48042000,+39.68354800,220.480420,+39.683548,1,+,3,J144155.30+394100.7,,2003.2317,3,23.774,0.635,23.347,0.212,22.161,0.122,22.217,0.184,21.622,0.345,,0.4034,0.0710,0.3983
